[Wed Jan 11 22:28:25.622896 2017] [mpm_prefork:notice] [pid 15233] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.20 configured -- resuming normal operations
[Wed Jan 11 22:28:25.622962 2017] [core:notice] [pid 15233] AH00094: Command line: 'apache2'
[Wed Jan 11 22:28:32.908057 2017] [core:info] [pid 15241] [client 10.240.0.185:46538] AH00128: File does not exist: /home/ubuntu/workspace/socket.io/socket.io.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:33.005982 2017] [core:info] [pid 15242] [client 10.240.0.16:53222] AH00128: File does not exist: /home/ubuntu/workspace/css/bootstrap-responsive.min.css, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:33.027330 2017] [core:info] [pid 15243] [client 10.240.0.181:33874] AH00128: File does not exist: /home/ubuntu/workspace/js/jquery.min.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:33.045806 2017] [core:info] [pid 15244] [client 10.240.0.196:49332] AH00128: File does not exist: /home/ubuntu/workspace/css/bootstrap.min.css, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:33.066123 2017] [core:info] [pid 15240] [client 10.240.1.45:43948] AH00128: File does not exist: /home/ubuntu/workspace/js/angular.min.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:33.111018 2017] [core:info] [pid 15241] [client 10.240.0.16:53224] AH00128: File does not exist: /home/ubuntu/workspace/js/bootstrap.min.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:43.847418 2017] [core:info] [pid 15243] [client 10.240.0.185:46664] AH00128: File does not exist: /home/ubuntu/workspace/css/bootstrap-responsive.min.css, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:43.967993 2017] [core:info] [pid 15244] [client 10.240.1.18:41814] AH00128: File does not exist: /home/ubuntu/workspace/js/jquery.min.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:43.968257 2017] [core:info] [pid 15240] [client 10.240.1.67:36278] AH00128: File does not exist: /home/ubuntu/workspace/js/bootstrap.min.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:44.283332 2017] [core:info] [pid 15241] [client 10.240.1.31:48842] AH00128: File does not exist: /home/ubuntu/workspace/css/bootstrap.min.css, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:44.394403 2017] [core:info] [pid 15242] [client 10.240.0.215:54480] AH00128: File does not exist: /home/ubuntu/workspace/socket.io/socket.io.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:28:44.397503 2017] [core:info] [pid 15243] [client 10.240.1.4:37296] AH00128: File does not exist: /home/ubuntu/workspace/js/angular.min.js, referer: https://tehnweb-proj-clasament-stefanbadea.c9users.io/client/index.html
[Wed Jan 11 22:29:08.610106 2017] [mpm_prefork:notice] [pid 15233] AH00169: caught SIGTERM, shutting down
